chunk_size,method,chunks,queries,precision,recall,mrr,ndcg,median_latency_ms,p95_latency_ms,index_size_mb
128,semantic,98,30,0.2533,0.9056,0.8667,0.8427,3.0725,3.4508,0.2247
128,keyword,98,30,0.2333,0.8556,0.8678,0.8283,0.057,0.0927,0.2247
256,semantic,65,30,0.2467,0.8944,0.8889,0.8563,3.0548,3.3408,0.1672
256,keyword,65,30,0.2667,0.9333,0.8817,0.8657,0.0449,0.0717,0.1672
512,semantic,33,30,0.2533,0.9111,0.9417,0.8934,3.0301,3.3271,0.1013
512,keyword,33,30,0.2467,0.8722,0.8833,0.8555,0.0331,0.0544,0.1013
